geometry,name,cuisine,opening_hours,wheelchair,takeaway,addr:street,category
POINT (-122.5262172 45.5313288),Saint Therese School,,,,,Northeast 132nd Avenue,school
POINT (-122.6322222 45.5105556),Multnomah Early Childhood Program,,,,,,school
POINT (-122.61 45.5708333),NAYA Many Nations Academy (MNA),,,,,Northeast Columbia Boulevard,school
POINT (-122.6314386 45.4810446),KRRC-FM,,,,,,studio
POINT (-122.5946382 45.5315823),"Multnomah County Department of Community Justice, Juvenile Services Division",,,,,Northeast 68th Avenue,courthouse
POINT (-122.6234924 45.5165922),Belmont Academy,,,,,Southeast Belmont Street,kindergarten
POINT (-122.7076687 45.5366164),Class Academy,,Mo-Fr 07:15-17:45,yes,,Northwest Wardway Street,school
POINT (-122.5479443 45.5529805),Faithful Savior Community School,,,,,Northeast Skidmore Street,school
POINT (-122.5683333 45.5063889),Grace Lutheran School,,,,,Southeast 92nd Avenue,school
POINT (-122.7052658 45.482164),Hilltop Early Learning Academy,,Mo-Fr 08:30-16:00,,,Southwest Dosch Road,kindergarten
POINT (-122.7054703 45.4837079),Neveh Shalom Foundation School,,Mo-Fr 07:30-17:30,,,,kindergarten
POINT (-122.6293427 45.5425745),Portland International Community School,,,,,Northeast 34th Avenue,school
POINT (-122.5940983 45.5026791),All City Church,,,,,Southeast 67th Avenue,place_of_worship
POINT (-122.6871355 45.5821154),Celebration Tabernacle,,,,,North Denver Avenue,place_of_worship
POINT (-122.4983573 45.5176967),Freedom Foursquare Church,,,,,Southeast 160th Avenue,place_of_worship
POINT (-122.5148148 45.5230762),Glenfair Family Church,,,,,Northeast 143rd Avenue,place_of_worship
POINT (-122.6896667 45.5621748),Albina Christian Life Center,,,,,North Willamette Boulevard,place_of_worship
POINT (-122.6750966 45.5662458),Lifeline Christian Church,,,,,North Albina Avenue,place_of_worship
POINT (-122.6833136 45.5121101),Campus Christian Ministry,,,,,Southwest Montgomery Street,place_of_worship
POINT (-122.5940967 45.5031654),Trinity Fellowship Church,,,,,Southeast 67th Avenue,place_of_worship
POINT (-122.673667 45.5233225),Union Gospel Mission Lifechange Center,,,,,Northwest 3rd Avenue,place_of_worship
POINT (-122.550914 45.4906298),Multnomah Holiness Association,,,,,Southeast Holgate Boulevard,place_of_worship
POINT (-122.6529593 45.5509391),New Testament Church of God in Christ,,,,,,place_of_worship
POINT (-122.6759042 45.5766268),North Community Church,,,,,North Mississippi Avenue,place_of_worship
POINT (-122.5481631 45.5529853),Hope Lutheran Church of the Deaf,,,,,Northeast Skidmore Street,place_of_worship
POINT (-122.5281168 45.5033072),Iglesia de Cristo,,,,,Southeast 131st Avenue,place_of_worship
POINT (-122.5629187 45.5056153),Johrei Fellowship Portland Center,,,,,Southeast Caruthers Street,place_of_worship
POINT (-122.5594541 45.555681),Saint Rita Religious Education Center,,,,,,school
POINT (-122.5263162 45.5366996),Gateway Christian Kindergarten and Preschool,,,,,Northeast San Rafael Street,school
POINT (-122.6430376 45.5260208),Kerr Youth Center at Wynne Watts School,,,,,Northeast 22nd Avenue,school
POINT (-122.6355556 45.5713889),Saint Michaels Lutheran Church,,,,,,place_of_worship
POINT (-122.6211734 45.537627),Hollywood Library,,"Mo-Sa 10:00-18:00; Tu 10:00-20:00; We,Th 12:00-20:00; Su 10:00-17:00; 2025 Aug 01-2026 Feb 28 ""Renovations""",,,Northeast Tillamook Street,library
POINT (-122.6527888 45.4677335),Sellwood Moreland Library,,"Mo 10:00-18:00; Tu,We 12:00-20:00; Th-Sa 10:00-18:00; Su 12:00-18:00",,,Southeast 13th Avenue,library
POINT (-122.574043 45.5547688),Portland Fire & Rescue,,,,,Northeast Sandy Boulevard,fire_station
POINT (-122.6824461 45.5157211),Davies Family Research Library,,Tu 13:00-17:00; We-Sa 10:00-17:00,,,Southwest Park Avenue,library
POINT (-122.6813589 45.5165278),Portland'5 Centers for the Arts Box Office,,"Mo-Sa 10:00-17:00 || ""and 2 hours prior to show""",,,,ticket
POINT (-122.6456449 45.5252727),Aquarian Foundation,,,,,Northeast 20th Avenue,place_of_worship
POINT (-122.6884098 45.5926321),,,,,,,toilets
POINT (-122.7026764 45.5212557),,,,,,,fountain
POINT (-122.7056002 45.5187805),,,,,,,fountain
POINT (-122.7159195 45.5105657),,,,,,,post_box
POINT (-122.622881 45.493554),Astro,,,,,,fuel
POINT (-122.6233025 45.5163316),Arco,,,,,Southeast Belmont Street,fuel
POINT (-122.659815 45.5348885),Wells Fargo,,,,,,atm
POINT (-122.7152738 45.5101686),Cascade Crest,,,,,,attraction
POINT (-122.700766 45.5349399),,,,,,,post_box
POINT (-122.6993847 45.5232052),Zupan's,,Mo-Su 06:00-22:00,,,West Burnside Street,supermarket
POINT (-122.6990842 45.5231571),Caffe Umbria,coffee_shop,,,,,cafe
POINT (-122.6350992 45.5337348),,,,,,,bicycle_parking
POINT (-122.6424368 45.5348523),Costello's Travel Caffé,,"Mo-Fr 07:00-17:00; Sa,Su 08:00-16:00",,,Northeast Broadway,restaurant
POINT (-122.6567867 45.5158888),,,,,,,bicycle_parking
POINT (-122.6567834 45.5164009),,,,,,,bicycle_parking
POINT (-122.6512689 45.5170996),Opal's,,Mo-Su 07:00-15:00,,,Southeast Morrison Street,cafe
POINT (-122.6514274 45.5177104),Nostrana,italian,,,,Southeast Morrison Street,restaurant
POINT (-122.6419836 45.5348562),The Realm Refillery,,08:00-19:00; PH off; Nov We[4] 08:00-17:00; Dec 24 08:00-17:00; Dec 31 08:00-17:00,yes,,Northeast Broadway,general
POINT (-122.6420935 45.5348583),Eyes on Broadway,,Mo-Fr 09:00-18:00; Tu 07:00-19:00; Sa 09:00-17:00,yes,,Northeast Broadway,optician
POINT (-122.642351 45.5348523),Iconic,,,,,Northeast Broadway,restaurant
POINT (-122.6382912 45.5353153),Cha Cha Cha Taqueria,mexican,,,yes,Northeast Broadway,restaurant
POINT (-122.6370446 45.5352933),Hey! Happy Makers,,,,,Northeast Broadway,arts_centre
POINT (-122.639913 45.5349846),Portland Music Company,,Mo-Sa 10:00-18:30,,,Northeast Broadway,music
POINT (-122.6265949 45.5118311),Waffle Window,american,08:00-21:00,,,Southeast Hawthorne Boulevard,fast_food
POINT (-122.5638694 45.5181449),America's Best Contacts & Eyeglasses,,,,,Southeast Washington Street,optician
POINT (-122.563869 45.5179099),McMenamins Mall 205,american,"Mo-Th,Su 11:00-22:00; Fr,Sa 11:00-23:00",,,Southeast Washington Street,pub
POINT (-122.5638694 45.5180109),Columbia Clinic Urgent Care: Mall 205,,,,,Southeast Washington Street,clinic
POINT (-122.563869 45.5180609),Interstate Batteries,,,,,Southeast Washington Street,car_parts
POINT (-122.6524424 45.5261325),,,,,,,drinking_water
POINT (-122.6508044 45.5261899),,,,,,,drinking_water
POINT (-122.6508471 45.5251495),,,,,,,drinking_water
POINT (-122.6556124 45.5469107),,,,,,,drinking_water
POINT (-122.6574035 45.5464941),,,,,,,drinking_water
POINT (-122.6796148 45.5273782),United States Postal Service,,,,,,post_box
POINT (-122.6302535 45.5623834),Walgreens,,,,,,pharmacy
POINT (-122.6300818 45.5625818),Beaumont Mix Shop,,Mo-Sa 11:00-19:00; Su 12:00-18:00,,,Northeast Killingsworth Street,alcohol
POINT (-122.6302363 45.5629063),76,,,,,,fuel
POINT (-122.650093 45.4740238),,,,,,,post_box
POINT (-122.653387 45.5125232),Tahrir Square,kebab,,,,Southeast Hawthorne Boulevard,fast_food
POINT (-122.6532409 45.5124979),El Brasero,mexican,Su-Mo 11:00-23:00; Tu-Th 11:00-01:00; Fr-Sa 11:00-03:00,,,Southeast Hawthorne Boulevard,fast_food
POINT (-122.6532149 45.5125432),,,,,,,toilets
POINT (-122.6534847 45.5125185),Pyro Pizza,pizza,Tu-Su 11:00-22:00,,,Southeast Hawthorne Boulevard,fast_food
POINT (-122.6535495 45.512423),Potato Champion,,,,,Southeast Hawthorne Boulevard,fast_food
POINT (-122.6533679 45.5123358),BKK Pad Thai,thai,Mo-Su 11:30-21:30,,,Southeast Hawthorne Boulevard,fast_food
POINT (-122.6743717 45.5200598),Just Thai,thai,,,only,,fast_food
POINT (-122.6743991 45.5200116),A1 Foodbar,,,,only,,fast_food
POINT (-122.6745771 45.5197),Indian Rasoi,indian,,,only,,fast_food
POINT (-122.6618857 45.5410517),Portland Cà Phê,,"Mo-Fr 08:00-16:00; Sa,Su 09:00-16:00",,,Northeast Martin Luther King Junior Boulevard,cafe
POINT (-122.6620931 45.5410497),Killer Burger,burger,11:00-21:00,,,Northeast Russell Street,restaurant
POINT (-122.6623586 45.5521844),Best Auto Repair,,09:00-18:00,,,Northeast Shaver Street,car_repair
POINT (-122.6611987 45.5646288),,,,,,,atm
POINT (-122.661723 45.5631435),U.S. Bank,,,,,,atm
POINT (-122.7350432 45.5096883),Chevron,,,,,,fuel
POINT (-122.690638 45.5293318),United States Postal Service,,,,,,post_box
POINT (-122.6750443 45.5555798),,,,,,,bench
POINT (-122.675134 45.5567452),Albina Press,coffee_shop,Mo-Su 06:00-18:00,yes,,North Albina Avenue,cafe
POINT (-122.675134 45.5566911),Mississippi Health Center,,,,,North Albina Avenue,clinic
POINT (-122.6756557 45.5522014),Phipps Rexall Drugs,,,,,,artwork
POINT (-122.6751289 45.5561112),Atlas Tattoo,,Mo-Su 11:00-19:00,,,North Albina Avenue,tattoo
POINT (-122.6745386 45.5601998),The Red Fox,,,,,North Albina Avenue,pub
POINT (-122.563743 45.5167064),OnPoint,,,,,Southeast Washington Street,bank
POINT (-122.5634777 45.5170019),Mattress Firm,,,,,Southeast Washington Street,bed
POINT (-122.5633677 45.5171478),,,,,,Southeast Washington Street,vacant
POINT (-122.5633175 45.5172158),East Portland Dental,,,,,Southeast Washington Street,dentist
POINT (-122.5631375 45.5174582),Coffee's On,,Mo-Fr 06:00-15:00; Su 08:00-14:00,,,Southeast Washington Street,cafe
POINT (-122.5630893 45.5175118),Sushi Sapporo,sushi,Mo-Fr 11:00-20:30; Sa 12:00-21:00; Su 12:00-20:30,,,Southeast Washington Street,restaurant
POINT (-122.5630108 45.5175972),Sport Clips,,Mo-Fr 10:00-19:00; Sa 09:00-18:00; Su 10:00-16:00,,,Southeast Washington Street,hairdresser
POINT (-122.5629263 45.5176919),Star Nails,,Mo-Sa 10:00-18:00,,,Southeast Washington Street,beauty
POINT (-122.5628777 45.5177511),205 Liquor,,Mo-Sa 10:00-20:00; Su 11:00-18:00,,,Southeast Washington Street,alcohol
POINT (-122.5628566 45.5178902),FedEx Office,,,,,Southeast Washington Street,copyshop
POINT (-122.5628629 45.5179686),Soy Teriyaki,,Mo-Sa 10:00-20:00,,,Southeast Washington Street,fast_food
POINT (-122.5628672 45.5180308),Subway,sandwich,07:00-23:00,,yes,Southeast Washington Street,fast_food
POINT (-122.562869 45.518158),Verizon,,,,,Southeast Washington Street,mobile_phone
POINT (-122.5638854 45.5164314),AT&T,,,,,Southeast Washington Street,mobile_phone
POINT (-122.5637903 45.5166432),,,,,,,atm
POINT (-122.679667 45.5195031),Biketown,,,,,,bicycle_rental
POINT (-122.6665053 45.5457736),Waypost,,,,,North Williams Avenue,bar
POINT (-122.6681626 45.5478839),Mam's Kitchen,,,,,,fast_food
POINT (-122.6613965 45.5405648),Bardy Trophy Co.,,,,,Northeast Martin Luther King Junior Boulevard,trophy
POINT (-122.6618685 45.5407391),New Song Community Church,,,,,Northeast Martin Luther King Junior Boulevard,place_of_worship
POINT (-122.6618514 45.5395428),Central Welding Supply,,,,,,trade
POINT (-122.6618198 45.5402088),Queen of Sheba,ethiopian,,,,Northeast Martin Luther King Junior Boulevard,restaurant
POINT (-122.7766786 45.543636),,,,,,,shelter
POINT (-122.6373428 45.5352926),Hale Pele,hawaiian,,,,Northeast Broadway,bar
POINT (-122.5952598 45.4977275),Yesenia's Market,mexican,,,,Southeast Powell Boulevard,supermarket
POINT (-122.628733 45.5119308),United States Postal Service,,,,,,post_box
POINT (-122.649738 45.5172483),,,,,,,post_box
POINT (-122.602154 45.5168248),,,,,,,post_box
POINT (-122.615296 45.516646),,,,,,,post_box
POINT (-122.696698 45.529886),United States Postal Service,,,,,,post_box
POINT (-122.69459 45.5283373),United States Postal Service,,,,,,post_box
POINT (-122.5947236 45.5148608),,,,,,,drinking_water
POINT (-122.593316 45.5123528),,,,,,,viewpoint
POINT (-122.6609426 45.5267259),Oregon's Finest,,,,,Northeast Grand Avenue,cannabis
POINT (-122.6087852 45.4971332),Midpoint,american,08:00-22:00,,,Southeast 52nd Avenue,restaurant
POINT (-122.5961336 45.4890009),Plaid Pantry,,,,,Southeast Foster Road,convenience
POINT (-122.6222996 45.4935393),Plaid Pantry,,,,,Southeast César E. Chávez Boulevard,convenience
POINT (-122.6538147 45.498098),Brooklyn Park Pub,,,,,,pub
POINT (-122.715731 45.4554638),UPS,,,,,,post_box
POINT (-122.6676819 45.5535819),Artery,,,,,North Vancouver Avenue,gallery
POINT (-122.685001 45.5242929),United States Postal Service,,,,,,post_box
POINT (-122.4968865 45.4885107),,,,,,,bench
POINT (-122.5008582 45.4878118),,,,,,,bench
POINT (-122.702792 45.5310428),United States Postal Service,,,,,,post_box
POINT (-122.6969222 45.5232878),,,,,,,telephone
POINT (-122.6839 45.5190543),United States Postal Service,,,,,,post_box
POINT (-122.681234 45.5214079),United States Postal Service,,,,,,post_box
POINT (-122.678458 45.5033505),Citibank,,,,,,atm
POINT (-122.685271 45.5285262),FedEx,,,,,,post_box
POINT (-122.685271 45.5285162),United States Postal Service,,,,,,post_box
POINT (-122.677981 45.5220235),United States Postal Service,,,,,,post_box
POINT (-122.67691 45.5288972),United States Postal Service,,,,,,post_box
POINT (-122.7114349 45.5387763),Handy Foodmart,,,,,,convenience
POINT (-122.665883 45.5698673),,,,,,,post_box
POINT (-122.675981 45.526708),The Portland Loo,,,,,,toilets
POINT (-122.679446 45.5200105),United States Postal Service,,,,,,post_box
POINT (-122.614991 45.5119519),United States Postal Service,,,,,,post_box
POINT (-122.6347195 45.5163788),United States Postal Service,,,,,,post_box
POINT (-122.6862437 45.4450819),,,,,,,parking
POINT (-122.634605 45.5229911),United States Postal Service,,,,,,post_box
POINT (-122.647384 45.5230136),United States Postal Service,,,,,,post_box
POINT (-122.68516 45.5265562),United States Postal Service,,,,,,post_box
POINT (-122.6945743 45.5262554),,,,,,,drinking_water
POINT (-122.7355969 45.5098343),76,,,,,,fuel
POINT (-122.6783598 45.5219389),,,,,,,drinking_water
POINT (-122.7549492 45.531729),Skyline Restaurant,burger;milkshake,,,,,restaurant
POINT (-122.794049 45.5874317),,,,,,,parking
POINT (-122.6584016 45.5351525),,,,,,,telephone
POINT (-122.685403 45.5313708),United States Postal Service,,,,,,post_box
POINT (-122.660537 45.5186019),United States Postal Service,,,,,,post_box
POINT (-122.7072184 45.5351646),Cyclepath West,,We-Fr 09:00-18:00; Sa 09:00-17:00; Su 09:30-16:30,,,Northwest Thurman Street,bicycle
POINT (-122.6024091 45.5263398),Seven Virtues,coffee_shop,"Mo-Fr 07:00-05:00, Sa-Su 08:00-05:00",,,Northeast Glisan Street,cafe
POINT (-122.6793577 45.5255788),Butterfly Belly Asian Cuisine,asian,,,,Northwest Park Avenue,restaurant
POINT (-122.6819831 45.5176366),,,,,,,drinking_water
POINT (-122.698542 45.5231617),,,,,,,post_box
POINT (-122.672648 45.521223),United States Postal Service,,,,,,post_box
POINT (-122.706991 45.5374798),,,,,,,post_box
POINT (-122.679077 45.5205914),United States Postal Service,,,,,,post_box
POINT (-122.608593 45.5408493),Trek,,,,,Northeast Sandy Boulevard,bicycle
POINT (-122.776745 45.5435489),,,,,,,drinking_water
POINT (-122.6635793 45.4659733),Sellwood Waterfront Park,,,,,,bicycle_parking
POINT (-122.6786594 45.5176465),Fifth Taylor,,,,,,parking_entrance
POINT (-122.679276 45.5243943),United States Postal Service,,,,,,post_box
POINT (-122.678992 45.5242101),,,,,,,drinking_water
POINT (-122.694265 45.5102163),,,,,,,post_box
POINT (-122.699179 45.5093858),USPS,,,,,,post_box
POINT (-122.6988132 45.5093599),Vista Spring Cafe,pizza;burger;sandwich,,,,Southwest Spring Street,restaurant
POINT (-122.6987027 45.5095495),The Heights antiques,,,,,,antiques
POINT (-122.6840326 45.5227553),People's Bike Library of Portland,,,,,,artwork
POINT (-122.683588 45.5228045),Al's Den,american,,,,Southwest 12th Avenue,theatre
POINT (-122.6819149 45.5231098),Guilder Cafe,coffee_shop,,yes,,West Burnside Street,cafe
POINT (-122.6971939 45.5294304),,,,,,,parking
POINT (-122.696779 45.5297234),Wells Fargo,,,,,,atm
POINT (-122.677832 45.5243378),Augen Gallery,,Tu-Sa 11:00-17:30,,,Northwest Davis Street,gallery
POINT (-122.6923321 45.5293267),Café Nell,,"Mo-Fr 11:00-22:00; Sa,Su 09:00-22:00",,,Northwest Kearney Street,restaurant
POINT (-122.6768951 45.5225418),Untitled Fountain,,,,,,artwork
POINT (-122.6764267 45.5227678),,,,,,,artwork
POINT (-122.6764557 45.5226009),,,,,,,bicycle_parking
POINT (-122.67445 45.5391972),Gotham Tavern,,,,,,restaurant
POINT (-122.676924 45.541131),Widmer Brothers Brewing,,,,,North Russell Street,pub
POINT (-122.6638887 45.5297951),,,,,,,bicycle_parking
POINT (-122.6813534 45.5501112),The Palms,,,,,,motel
POINT (-122.6753673 45.5513372),,,,,,,bicycle_parking
POINT (-122.5661967 45.4723257),Springwater Corridor,,,,,,information
POINT (-122.5671047 45.4796088),Lents Station,,,,,,bicycle_parking
POINT (-122.563611 45.5310992),,,,,,,vending_machine
POINT (-122.5633795 45.5303882),,,,,,,vending_machine
POINT (-122.563364 45.5303923),,,,,,,vending_machine
POINT (-122.7177677 45.5104627),World Forestry Center,,,,,,bicycle_parking
POINT (-122.7158741 45.5098746),,,,,,,toilets
POINT (-122.694232 45.5181553),,,,,,,drinking_water
POINT (-122.6762983 45.5247886),Cal Skate Skateboards,,,,,Northwest 6th Avenue,sports
POINT (-122.674417 45.5186511),United States Postal Service,,,,,,post_box
POINT (-122.675637 45.5137993),United States Postal Service,,,,,,post_box
POINT (-122.689585 45.5357622),United States Postal Service,,,,,,post_box
POINT (-122.620711 45.479307),,,,,,,post_box
POINT (-122.622261 45.5165132),United States Postal Service,,,,,,post_box
POINT (-122.6765541 45.5281914),,,,,,,drinking_water
POINT (-122.659876 45.5171538),United States Postal Service,,,,,,post_box
POINT (-122.683332 45.5181082),United States Postal Service,,,,,,post_box
POINT (-122.6768722 45.5177594),,,,,,,drinking_water
POINT (-122.6203889 45.4792746),,,,,,,drinking_water
POINT (-122.616084 45.470862),,,,,,,post_box
POINT (-122.78281 45.5368613),,,,,,,fountain
POINT (-122.6852121 45.5002795),,,,,,,parking_entrance
POINT (-122.6852957 45.4985204),,,,,,,parking_entrance
POINT (-122.687847 45.4996464),,,,,,,fountain
POINT (-122.682288 45.5028894),,,,,,,parking_entrance
POINT (-122.6354905 45.4799339),,,,,,,drinking_water
POINT (-122.609098 45.4902085),USPS,,,,,,post_box
POINT (-122.630545 45.4904116),USPS,,,,,,post_box
POINT (-122.676599 45.5312399),United States Postal Service,,,,,,post_box
POINT (-122.629307 45.4791122),USPS,,,,,,post_box
POINT (-122.5903846 45.5886351),,,,,,,parking_entrance
POINT (-122.717861 45.4852086),76,,,,,,fuel
POINT (-122.68403 45.463719),,,,,,,post_box
POINT (-122.713059 45.4567027),USPS,,,,,,post_box
POINT (-122.6368983 45.5191907),Puff Coffee,coffee_shop,07:00-16:00,,,Southeast Stark Street,cafe
POINT (-122.636636 45.5191846),Stark Street Quick Stop Market,,,,,Southeast Stark Street,convenience
POINT (-122.660647 45.51378),United States Postal Service,,,,,,post_box
POINT (-122.7170051 45.5189789),,,,,,,viewpoint
POINT (-122.7167719 45.5156512),Stevens Pavilion,,,,,,shelter
POINT (-122.7166753 45.5156625),,,,,,,drinking_water
POINT (-122.7157902 45.5156549),,,,,,,drinking_water
POINT (-122.7157741 45.5156888),,,,,,,toilets
POINT (-122.6763388 45.5145554),,,,yes,,,drinking_water
POINT (-122.6982627 45.4699353),,,,,,,bench
POINT (-122.6499079 45.5244754),Big Town Hero,sandwich,,yes,,,fast_food
POINT (-122.678589 45.5046003),United States Postal Service,,,,,,post_box
POINT (-122.6795868 45.5046366),,,,,,,fountain
POINT (-122.684647 45.5221614),United States Postal Service,,,,,,post_box
POINT (-122.678599 45.5021638),United States Postal Service,,,,,,post_box
POINT (-122.630473 45.5318952),United States Postal Service,,,,,,post_box
POINT (-122.598222 45.5448282),United States Postal Service,,,,,,post_box
POINT (-122.592302 45.5471251),United States Postal Service,,,,,,post_box
POINT (-122.7297239 45.5412331),,,,,,,bench
POINT (-122.7308772 45.538494),,,,,,,bench
POINT (-122.6815353 45.4990054),,,,,,,parking
POINT (-122.680676 45.4978322),,,,,,,parking
POINT (-122.6818025 45.4954783),,,,,,,parking
POINT (-122.6835342 45.4913619),,,,,,,parking
POINT (-122.6865516 45.4908824),,,,,,,parking
POINT (-122.6864953 45.4904762),,,,,,,parking
POINT (-122.6852613 45.4875076),,,,,,,bench
POINT (-122.6854224 45.4878099),,,,,,,parking
POINT (-122.6831623 45.4827791),,,,,,,drinking_water
POINT (-122.6908963 45.4673257),,,,,,,picnic_site
POINT (-122.6919048 45.4666146),,,,,,,picnic_site
POINT (-122.568435 45.4800662),The Eagle Eye,,,,,Southeast 92nd Avenue,pub
POINT (-122.568431 45.480259),El Pato Feliz,mexican,,,,Southeast 92nd Avenue,restaurant
POINT (-122.5632671 45.4781338),7-Eleven,,,,,Southeast Foster Road,convenience
POINT (-122.564002 45.4828504),Lents Market,,,,,,convenience
POINT (-122.5710246 45.4807338),Oliver's Cafe,american,,,,,restaurant
POINT (-122.6598766 45.5301775),J Cafe,bagel;coffee_shop;sandwich,Mo-Fr 07:00-13:30,,,,cafe
POINT (-122.684641 45.5199722),,,,,,,drinking_water
POINT (-122.627452 45.5048528),,,,,,,post_box
POINT (-122.7080261 45.4983606),Joy (Pioneer Woman),,,,,,artwork
POINT (-122.7091288 45.5003292),,,,,,,bench
POINT (-122.7971658 45.5796448),Skyline Tavern,,,,,,pub
POINT (-122.6750587 45.512347),,,,,,,bench
POINT (-122.6771532 45.5124961),,,,,,,parking_entrance
