element,name,name_norm,brand,brand_norm,amenity,shop,tourism,category,category_final,cuisine,cuisine_clean,opening_hours,opening_hours_norm,is_24_7,mo_open,mo_close,tu_open,tu_close,we_open,we_close,th_open,th_close,fr_open,fr_close,sa_open,sa_close,su_open,su_close,wheelchair,wheelchair_accessible,takeaway,has_takeaway,addr:street,addr_norm,poi_text
way,Ondine Residence Hall,ondine residence hall,,,student_accommodation,,,student_accommodation,student_accommodation,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest 6th Avenue,southwest 6th avenue,ondine residence hall student_accommodation southwest 6th avenue
way,Cheerful Tortoise,cheerful tortoise,,,pub,,,pub,pub,,,"Mo-Fr 10:30-02:30; Sa,Su 09:00-02:30","Mo-Fr 10:30-02:30; Sa,Su 09:00-02:30",False,10:30,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,09:00,24:00,00:00,24:00,no,0,,0,Southwest 6th Avenue,southwest 6th avenue,cheerful tortoise pub southwest 6th avenue
way,Pho 503,pho 503,,,restaurant,,,restaurant,restaurant,vietnamese,vietnamese,Mo-Sa 11:00-21:00,Mo-Sa 11:00-21:00,False,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,,,,0,,0,Southwest College Street,southwest college street,pho 503 restaurant vietnamese southwest college street
way,City Center Parking,city center parking,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,city center parking transport
way,Crown Plaza Parking,crown plaza parking,,,parking,,,parking,transport,,,24/7,24/7,True,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,0,,0,Southwest Clay Street,southwest clay street,crown plaza parking transport southwest clay street
way,Portland Fire & Rescue,portland fire & rescue,,,fire_station,,,fire_station,fire_station,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Ash Street,southwest ash street,portland fire & rescue fire_station southwest ash street
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,Sellwood Middle School,sellwood middle school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southeast 15th Avenue,southeast 15th avenue,sellwood middle school school southeast 15th avenue
way,Sunnyside Environmental School,sunnyside environmental school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,limited,0,,0,Southeast Salmon Street,southeast salmon street,sunnyside environmental school school southeast salmon street
way,Rieke Elementary School,rieke elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Vermont Street,southwest vermont street,rieke elementary school school southwest vermont street
way,Ida B. Wells-Barnett High School,ida b. wells-barnett high school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Vermont Street,southwest vermont street,ida b. wells-barnett high school school southwest vermont street
way,Hillsdale Library,hillsdale library,,,library,,,library,library,,,"Mo-Sa 10:00-18:00; Tu 10:00-20:00; We,Th 12:00-20:00; Su 10:00-17:00","Mo-Sa 10:00-18:00; Tu 10:00-20:00; We,Th 12:00-20:00; Su 10:00-17:00",False,10:00,18:00,10:00,20:00,12:00,20:00,12:00,20:00,10:00,18:00,10:00,18:00,10:00,17:00,yes,1,,0,Southwest Sunset Boulevard,southwest sunset boulevard,hillsdale library library southwest sunset boulevard
way,Saint Barnabas Episcopal Church,saint barnabas episcopal church,,,place_of_worship,,,place_of_worship,place_of_worship,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Vermont Street,southwest vermont street,saint barnabas episcopal church place_of_worship southwest vermont street
way,Woodstock Library,woodstock library,,,library,,,library,library,,,"Su 12:00-18:00; Tu, We 12:00-20:00; Mo, Th-Sa 10:00-18:00","Su 12:00-18:00; Tu, We 12:00-20:00; Mo, Th-Sa 10:00-18:00",False,00:00,24:00,00:00,24:00,12:00,20:00,10:00,18:00,10:00,18:00,10:00,18:00,12:00,18:00,,0,,0,Southeast 49th Avenue,southeast 49th avenue,woodstock library library southeast 49th avenue
way,Holgate Library,holgate library,,,library,,,library,library,,,Su 12:00-17:00; Mo-Tu 12:00-20:00; We-Sa 10:00-18:00,Su 12:00-17:00; Mo-Tu 12:00-20:00; We-Sa 10:00-18:00,False,12:00,20:00,12:00,20:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,12:00,17:00,,0,,0,Southeast Holgate Boulevard,southeast holgate boulevard,holgate library library southeast holgate boulevard
way,Midland Library,midland library,,,library,,,library,library,,,"Mo 10:00-18:00; Tu,We 12:00-20:00; Th-Sa 10:00-18:00; Su 12:00-18:00","Mo 10:00-18:00; Tu,We 12:00-20:00; Th-Sa 10:00-18:00; Su 12:00-18:00",False,10:00,18:00,12:00,20:00,12:00,20:00,10:00,18:00,10:00,18:00,10:00,18:00,12:00,18:00,,0,,0,Southeast 122nd Avenue,southeast 122nd avenue,midland library library southeast 122nd avenue
way,Capitol Hill Library,capitol hill library,,,library,,,library,library,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Capitol Highway,southwest capitol highway,capitol hill library library southwest capitol highway
way,Saint Johns Library,saint johns library,,,library,,,library,library,,,"Mo,Tu 12:00-20:00, We,Th,Fr,Sa 10:00-18:00, Su 12:00-17:00","Mo,Tu 12:00-20:00, We,Th,Fr,Sa 10:00-18:00, Su 12:00-17:00",False,12:00,20:00,12:00,20:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,12:00,17:00,yes,1,,0,North Charleston Avenue,north charleston avenue,saint johns library library north charleston avenue
way,James John Elementary School,james john elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Charleston Avenue,north charleston avenue,james john elementary school school north charleston avenue
way,Markham Elementary School,markham elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Capitol Highway,southwest capitol highway,markham elementary school school southwest capitol highway
way,Grover Cleveland High School,grover cleveland high school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southeast 26th Avenue,southeast 26th avenue,grover cleveland high school school southeast 26th avenue
way,Forest Park Elementary School,forest park elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Northwest Durrett Street,northwest durrett street,forest park elementary school school northwest durrett street
way,French American International School,french american international school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Northwest Johnson Street,northwest johnson street,french american international school school northwest johnson street
way,Rosa Parks Elementary School,rosa parks elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Woolsey Avenue,north woolsey avenue,rosa parks elementary school school north woolsey avenue
way,Jackson Middle School,jackson middle school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest 35th Avenue,southwest 35th avenue,jackson middle school school southwest 35th avenue
way,Bridlemile Elementary School,bridlemile elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest 47th Drive,southwest 47th drive,bridlemile elementary school school southwest 47th drive
way,George Middle School,george middle school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Burr Avenue,north burr avenue,george middle school school north burr avenue
way,Astor School,astor school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Yale Street,north yale street,astor school school north yale street
way,Hayhurst School,hayhurst school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Iowa Street,southwest iowa street,hayhurst school school southwest iowa street
way,Peninsula Elementary School,peninsula elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Emerald Avenue,north emerald avenue,peninsula elementary school school north emerald avenue
way,Sitton Elementary School,sitton elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Smith Street,north smith street,sitton elementary school school north smith street
way,Odyssey Program at East Sylvan,odyssey program at east sylvan,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest 58th Avenue,southwest 58th avenue,odyssey program at east sylvan school southwest 58th avenue
way,Clarendon Early Learning Academy,clarendon early learning academy,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Van Houten Avenue,north van houten avenue,clarendon early learning academy school north van houten avenue
way,Stephenson Elementary School,stephenson elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Stephenson Street,southwest stephenson street,stephenson elementary school school southwest stephenson street
way,Maplewood Elementary School,maplewood elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest 52nd Avenue,southwest 52nd avenue,maplewood elementary school school southwest 52nd avenue
way,SmartPark,smartpark,SmartPark,smartpark,parking,,,parking,transport,,,24/7,24/7,True,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,0,,0,Southwest 4th Avenue,southwest 4th avenue,smartpark smartpark transport southwest 4th avenue
way,SmartPark,smartpark,SmartPark,smartpark,parking,,,parking,transport,,,24/7,24/7,True,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,0,,0,Northwest Davis Street,northwest davis street,smartpark smartpark transport northwest davis street
way,César Chávez School,cesar chavez school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Willis Boulevard,north willis boulevard,cesar chavez school school north willis boulevard
way,Central Library,central library,,,library,,,library,library,,,"Mo 10:00-18:00; Tu,We 12:00-20:00; Th-Sa 10:00-18:00; Su 12:00-18:00","Mo 10:00-18:00; Tu,We 12:00-20:00; Th-Sa 10:00-18:00; Su 12:00-18:00",False,10:00,18:00,12:00,20:00,12:00,20:00,10:00,18:00,10:00,18:00,10:00,18:00,12:00,18:00,yes,1,,0,Southwest 10th Avenue,southwest 10th avenue,central library library southwest 10th avenue
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,City Center Parking,city center parking,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,city center parking transport
way,Portland Expo Center,portland expo center,,,exhibition_centre,,,exhibition_centre,other,,,,,False,,,,,,,,,,,,,,,,0,,0,North Marine Drive,north marine drive,portland expo center other north marine drive
way,Chief Joseph Elementary School,chief joseph elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Saratoga Street,north saratoga street,chief joseph elementary school school north saratoga street
way,Boise-Eliot Elementary School,boise-eliot elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Fremont Street,north fremont street,boise-eliot elementary school school north fremont street
way,Portland Community College - Cascade,portland community college - cascade,,,college,,,college,college,,,,,False,,,,,,,,,,,,,,,,0,,0,North Killingsworth Street,north killingsworth street,portland community college - cascade college north killingsworth street
way,Portland Village School,portland village school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Delaware Avenue,north delaware avenue,portland village school school north delaware avenue
way,KairosPDX Learning Academy,kairospdx learning academy,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Gantenbein Avenue,north gantenbein avenue,kairospdx learning academy school north gantenbein avenue
way,Beach Elementary School,beach elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Humboldt Street,north humboldt street,beach elementary school school north humboldt street
way,Holy Redeemer Catholic School,holy redeemer catholic school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Rosa Parks Way,north rosa parks way,holy redeemer catholic school school north rosa parks way
way,Ockley Green Middle School,ockley green middle school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Montana Avenue,north montana avenue,ockley green middle school school north montana avenue
way,Jefferson High School,jefferson high school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Kerby Avenue,north kerby avenue,jefferson high school school north kerby avenue
way,Holy Cross Catholic School,holy cross catholic school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,North Bowdoin Street,north bowdoin street,holy cross catholic school school north bowdoin street
way,Grant High School,grant high school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Northeast 36th Avenue,northeast 36th avenue,grant high school school northeast 36th avenue
way,Parkrose High School,parkrose high school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Northeast Shaver Street,northeast shaver street,parkrose high school school northeast shaver street
way,Parkrose Middle School,parkrose middle school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Northeast Shaver Street,northeast shaver street,parkrose middle school school northeast shaver street
way,Woodstock Elementary School,woodstock elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southeast 50th Avenue,southeast 50th avenue,woodstock elementary school school southeast 50th avenue
way,Vernon School,vernon school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Northeast Killingsworth Street,northeast killingsworth street,vernon school school northeast killingsworth street
way,Hosford Middle School,hosford middle school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southeast 28th Place,southeast 28th place,hosford middle school school southeast 28th place
way,Richmond Elementary School,richmond elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southeast 41st Avenue,southeast 41st avenue,richmond elementary school school southeast 41st avenue
way,Lewis Elementary School,lewis elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southeast Evergreen Street,southeast evergreen street,lewis elementary school school southeast evergreen street
way,Duniway Elementary School,duniway elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southeast Reed College Place,southeast reed college place,duniway elementary school school southeast reed college place
way,Grout Elementary School,grout elementary school,,,school,,,school,school,,,,,False,,,,,,,,,,,,,,,,0,,0,Southeast Holgate Boulevard,southeast holgate boulevard,grout elementary school school southeast holgate boulevard
way,Portland Community College - Sylvania,portland community college - sylvania,,,college,,,college,college,,,,,False,,,,,,,,,,,,,,,yes,1,,0,Southwest 49th Avenue,southwest 49th avenue,portland community college - sylvania college southwest 49th avenue
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,East Portland Post Office,east portland post office,,,post_office,,,post_office,post_office,,,Mo-Fr 08:30-17:00,Mo-Fr 08:30-17:00,False,08:30,17:00,08:30,17:00,08:30,17:00,08:30,17:00,08:30,17:00,,,,,,0,,0,Southeast 7th Avenue,southeast 7th avenue,east portland post office post_office southeast 7th avenue
way,Powell's City of Books,powell's city of books,Powell’s Books,powell's books,,books,,books,books,,,10:00-21:00,10:00-21:00,False,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,yes,1,,0,West Burnside Street,west burnside street,powell's city of books powell's books books west burnside street
way,North Parking Lot,north parking lot,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,north parking lot transport
way,East Garage,east garage,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,east garage transport
way,West Garage,west garage,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,west garage transport
way,Garden Garage,garden garage,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,garden garage transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,Parking Zone: 400,parking zone: 400,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,parking zone: 400 transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,Portland Fire & Rescue,portland fire & rescue,,,fire_station,,,fire_station,fire_station,,,,,False,,,,,,,,,,,,,,,,0,,0,Northeast Weidler Street,northeast weidler street,portland fire & rescue fire_station northeast weidler street
way,BMO,bmo,BMO,bmo,bank,,,bank,bank,,,,,False,,,,,,,,,,,,,,,,0,,0,Northeast Halsey Street,northeast halsey street,bmo bmo bank northeast halsey street
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,Oregon Zoo,oregon zoo,,,,,zoo,zoo,other,,,Mar-May: Mo-Su 09:30-17:30,Mar-May: Mo-Su 09:30-17:30,False,09:30,17:30,09:30,17:30,09:30,17:30,09:30,17:30,09:30,17:30,09:30,17:30,09:30,17:30,limited,0,,0,Southwest Canyon Road,southwest canyon road,oregon zoo other southwest canyon road
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,Safeway,safeway,Safeway,safeway,,supermarket,,supermarket,supermarket,,,06:00-23:00,06:00-23:00,False,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,,0,,0,Northeast Broadway,northeast broadway,safeway safeway supermarket northeast broadway
way,City Center Parking,city center parking,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Taylor Street,southwest taylor street,city center parking transport southwest taylor street
way,West End Theater,west end theater,,,community_centre,,,community_centre,community,,,,,False,,,,,,,,,,,,,,,,0,,0,Southwest Taylor Street,southwest taylor street,west end theater community southwest taylor street
way,10th Avenue Liquor,10th avenue liquor,,,,alcohol,,alcohol,alcohol,,,,,False,,,,,,,,,,,,,,,yes,1,,0,Southwest 10th Avenue,southwest 10th avenue,10th avenue liquor alcohol southwest 10th avenue
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,City Center Parking,city center parking,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,city center parking transport
way,First Baptist Church,first baptist church,,,place_of_worship,,,place_of_worship,place_of_worship,,,,,False,,,,,,,,,,,,,,,yes,1,,0,Southwest 11th Avenue,southwest 11th avenue,first baptist church place_of_worship southwest 11th avenue
way,Outside In,outside in,,,social_facility,,,social_facility,community,,,,,False,,,,,,,,,,,,,,,yes,1,,0,Southwest 13th Avenue,southwest 13th avenue,outside in community southwest 13th avenue
way,Legacy Research and Technology Center,legacy research and technology center,,,clinic,,,clinic,clinic,,,,,False,,,,,,,,,,,,,,,,0,,0,Northeast 2nd Avenue,northeast 2nd avenue,legacy research and technology center clinic northeast 2nd avenue
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,Captain’s Choice Cajun Seafood,captain's choice cajun seafood,,,restaurant,,,restaurant,restaurant,cajun;seafood,cajun seafood,,,False,,,,,,,,,,,,,,,,0,,0,Northeast 10th Avenue,northeast 10th avenue,captain's choice cajun seafood restaurant cajun seafood northeast 10th avenue
way,Suul Suul Korean Street Food,suul suul korean street food,,,restaurant,,,restaurant,restaurant,korean,korean,,,False,,,,,,,,,,,,,,,,0,,0,Northeast Broadway,northeast broadway,suul suul korean street food restaurant korean northeast broadway
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,Qdoba,qdoba,Qdoba,qdoba,fast_food,,,fast_food,fast_food,mexican,mexican,Mo-Sa 10:00-22:00; Su 10:00-21:00,Mo-Sa 10:00-22:00; Su 10:00-21:00,False,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,21:00,,0,yes,1,Northeast Weidler Street,northeast weidler street,qdoba qdoba fast_food mexican northeast weidler street
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,Taco Bell,taco bell,Taco Bell,taco bell,fast_food,,,fast_food,fast_food,tex-mex,mexican,Mo-Th 07:00-03:00; Fr-Sa 07:00-04:00; Su 07:00-03:00,Mo-Th 07:00-03:00; Fr-Sa 07:00-04:00; Su 07:00-03:00,False,07:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,07:00,24:00,00:00,24:00,07:00,24:00,,0,yes,1,Northeast Weidler Street,northeast weidler street,taco bell taco bell fast_food mexican northeast weidler street
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
way,Habaneros Mexican Food,habaneros mexican food,,,fast_food,,,fast_food,fast_food,mexican,mexican,,,False,,,,,,,,,,,,,,,,0,,0,Northeast Weidler Street,northeast weidler street,habaneros mexican food fast_food mexican northeast weidler street
way,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
